Address,Price,Size,Room Count
"Prenzlauer Berg, Berlin",1.470 €,"80,37 m²","<span class=""onlyLarge"">3</span>"
"Moabit, Berlin",1.350 €,58 m²,"<span class=""onlyLarge"">2</span>"
"Schöneberg, Berlin",4.300 €,185 m²,"<span class=""onlyLarge"">3</span>"
"Friedenau, Berlin",4.950 €,312 m²,"<span class=""onlyLarge"">7</span>"
"Hannoversche straße 22, Mitte (Ortsteil), Berlin",1.300 €,48 m²,"<span class=""onlyLarge"">1</span>"
"Vogelsdorfer Steig 28, Rahnsdorf, Berlin",1.800 €,"164,16 m²","<span class=""onlyLarge"">4</span>"
"Urbanstr 96a, Kreuzberg, Berlin",2.244 €,"88,99 m²","<span class=""onlyLarge"">4</span>"
"Kreuzberg, Berlin",4.900 €,290 m²,"<span class=""onlyLarge"">8</span>"
"Clara-Mleinek-Straße 3, Moabit, Berlin",Price not found,Size not found,
"Moabit, Berlin",1.900 €,152 m²,"<span class=""onlyLarge"">4</span>"
"Wilmersdorf, Berlin",5.200 €,211 m²,"<span class=""onlyLarge"">5</span>"
"Oderstraße 194, Neukölln (Ortsteil), Berlin",1.440 €,61 m²,"<span class=""onlyLarge"">1</span>"
"Marienfelde, Berlin",1.200 €,74 m²,"<span class=""onlyLarge"">2,5</span>"
"Adlershof, Berlin",1.095 €,"55,16 m²","<span class=""onlyLarge"">2</span>"
"Mehrower Allee 20A, Marzahn, Berlin",649 €,29 m²,"<span class=""onlyLarge"">1</span>"
"Günzelstrasse 59, Wilmersdorf, Berlin",3.000 €,185 m²,"<span class=""onlyLarge"">4</span>"
"Gubener Str. 25, Friedrichshain, Berlin",2.479 €,"99,12 m²","<span class=""onlyLarge"">2</span>"
"Leipziger Straße 49, Mitte (Ortsteil), Berlin",2.000 €,99 m²,"<span class=""onlyLarge"">3</span>"
"Kurfürstenstr 43, Tiergarten, Berlin",2.550 €,"70,54 m²","<span class=""onlyLarge"">3</span>"
"Wallstraße 19, Mitte (Ortsteil), Berlin",3.200 €,"137,44 m²","<span class=""onlyLarge"">4</span>"
"Nonnendammallee 96, Siemensstadt, Berlin",2.120 €,"174,93 m²","<span class=""onlyLarge"">4</span>"
"Ribbecker Straße 62, Friedrichsfelde, Berlin","1.643,60 €","117,4 m²","<span class=""onlyLarge"">4</span>"
"Fuggerstraße 24, Schöneberg, Berlin",1.215 €,103 m²,"<span class=""onlyLarge"">3</span>"
"Tabbertstraße 35, Oberschöneweide, Berlin","1.145,52 €","63,64 m²","<span class=""onlyLarge"">2</span>"
"Kastanienallee 00, Mitte (Ortsteil), Berlin",4.990 €,145 m²,"<span class=""onlyLarge"">3</span>"
"Goebenstraße 15, Schöneberg, Berlin",2.680 €,66 m²,"<span class=""onlyLarge"">2</span>"
